epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,132.714,0.5476,0.84926,0.62427,0.88837,0,0.8171,0.84839,0.84169,0.74002,0.81613,0.84739,0.84187,0.74037,0.53678,0.91826,0.74902,0.91294,0,0.0009308,0.0009308,0.0009308
29,137.226,0.54731,0.85039,0.62696,0.89717,0,0.84012,0.81247,0.85022,0.73723,0.83908,0.81147,0.84942,0.74665,0.56034,0.95572,0.7569,0.92656,0,0.0008912,0.0008912,0.0008912
30,142.106,0.52863,0.82227,0.60885,0.89526,0,0.83016,0.82329,0.85354,0.75926,0.82606,0.82932,0.85303,0.76276,0.50629,0.87002,0.70324,0.90699,0,0.0008516,0.0008516,0.0008516
31,146.902,0.5287,0.81496,0.58604,0.88519,0,0.80334,0.80796,0.8356,0.73802,0.80434,0.80896,0.83761,0.74242,0.50767,0.87813,0.85771,0.90106,0,0.000812,0.000812,0.000812
32,151.422,0.51783,0.80834,0.59586,0.88907,0,0.80361,0.82576,0.83657,0.73836,0.80458,0.82677,0.83809,0.74041,0.50889,0.88408,0.78336,0.90477,0,0.0007724,0.0007724,0.0007724
33,156.337,0.51472,0.7692,0.58781,0.88092,0,0.81139,0.8509,0.84206,0.74291,0.81285,0.85034,0.84243,0.74932,0.50286,0.84357,0.69994,0.8964,0,0.0007328,0.0007328,0.0007328
34,160.849,0.51334,0.78955,0.59015,0.88005,0,0.80846,0.87149,0.85731,0.75369,0.80636,0.87802,0.85848,0.75726,0.50822,0.87671,0.66104,0.90631,0,0.0006932,0.0006932,0.0006932
35,165.516,0.51199,0.80565,0.56948,0.89034,0,0.82712,0.84543,0.85342,0.75547,0.8281,0.84643,0.85594,0.75781,0.51831,0.8812,0.68857,0.91873,0,0.0006536,0.0006536,0.0006536
36,170.056,0.50036,0.77473,0.56842,0.8818,0,0.82826,0.84738,0.85908,0.75487,0.82826,0.84738,0.85953,0.7588,0.5085,0.87679,0.66013,0.9153,0,0.000614,0.000614,0.000614
37,174.744,0.50366,0.78254,0.561,0.88307,0,0.80777,0.84839,0.84001,0.73695,0.80777,0.84839,0.83891,0.74218,0.51573,0.82975,0.67281,0.91407,0,0.0005744,0.0005744,0.0005744
38,179.52,0.49576,0.77561,0.56911,0.87735,0,0.81315,0.85542,0.8494,0.75147,0.81219,0.85442,0.84868,0.75597,0.51083,0.87341,0.7007,0.91274,0,0.0005348,0.0005348,0.0005348
39,183.985,0.49351,0.76312,0.53083,0.87632,0,0.80691,0.88112,0.85553,0.75937,0.80875,0.88313,0.85696,0.76468,0.51533,0.86008,0.65924,0.91803,0,0.0004952,0.0004952,0.0004952
40,189.054,0.50022,0.78314,0.54315,0.88805,0,0.83851,0.83032,0.8518,0.75572,0.83964,0.83587,0.85376,0.75729,0.51039,0.86848,0.70441,0.91615,0,0.0004556,0.0004556,0.0004556
41,214.013,0.46544,0.73968,0.58964,0.8644,0,0.82887,0.83646,0.84404,0.74678,0.82887,0.83646,0.84508,0.74547,0.51846,0.88133,0.83967,0.91676,0,0.000416,0.000416,0.000416
42,219.701,0.45323,0.72058,0.52033,0.85623,0,0.82403,0.8253,0.85805,0.76132,0.83475,0.82028,0.85881,0.76457,0.50142,0.85136,0.67836,0.91589,0,0.0003764,0.0003764,0.0003764
43,225.312,0.44179,0.68862,0.50578,0.85858,0,0.84234,0.83683,0.86569,0.76984,0.84335,0.83783,0.86746,0.77428,0.50883,0.87642,0.7078,0.92115,0,0.0003368,0.0003368,0.0003368
44,230.669,0.43661,0.69371,0.4786,0.85796,0,0.82461,0.83555,0.85894,0.7613,0.82672,0.83936,0.86049,0.76177,0.49995,0.87198,0.63995,0.91294,0,0.0002972,0.0002972,0.0002972
45,235.69,0.43425,0.67686,0.47223,0.84424,0,0.81888,0.83936,0.84813,0.75327,0.81888,0.83936,0.84888,0.75985,0.49349,0.83108,0.73602,0.9031,0,0.0002576,0.0002576,0.0002576
46,240.506,0.42426,0.6595,0.4757,0.8511,0,0.82328,0.84438,0.85955,0.76215,0.82295,0.84466,0.85963,0.76844,0.49707,0.8317,0.64308,0.90686,0,0.000218,0.000218,0.000218
47,245.779,0.42142,0.67387,0.45388,0.84901,0,0.83397,0.8253,0.85028,0.75265,0.81168,0.84538,0.85045,0.759,0.50262,0.85232,0.69798,0.9099,0,0.0001784,0.0001784,0.0001784
48,251.45,0.42026,0.65155,0.44779,0.84227,0,0.81429,0.85843,0.85562,0.75648,0.81457,0.85843,0.85674,0.76251,0.49481,0.85328,0.65691,0.91218,0,0.0001388,0.0001388,0.0001388
49,256.691,0.41402,0.65956,0.4376,0.83863,0,0.82224,0.8504,0.85428,0.75581,0.82203,0.8504,0.85457,0.76262,0.49826,0.8527,0.63848,0.91262,0,9.92e-05,9.92e-05,9.92e-05
50,261.949,0.4046,0.65272,0.43065,0.84037,0,0.83365,0.84639,0.857,0.75884,0.81282,0.86446,0.8576,0.76479,0.49189,0.83408,0.62428,0.91178,0,5.96e-05,5.96e-05,5.96e-05
